region,province,district,normalized_name,eNHIS_code,latitude,longitude,agency_name,hf_type,operational_status
southern,milne bay,samarai-murua,nimoa sc,50205,-11.31,153.23,catholic,hf,active
southern,milne bay,esaala,jinjo sc,50203,-11.31,154.23,other,hf,active
southern,milne bay,esaala,panaeati sc,50206,-10.7,152.36,other,hf,active
southern,milne bay,samarai-murua,mbp - misima dvs,,-10.68575052,152.8393266,,,
southern,milne bay,esaala,bwagaoia/misima dh,,-10.68,152.83,esaala,,
southern,milne bay,esaala,samarai hc,50207,-10.61,150.66,government,hf,open
southern,milne bay,esaala,kwaraiwa sc,50204,-10.61,151.28,other,hf,active
southern,milne bay,alotau,fife bay sc,50107,-10.59,150.03,united church,hf,active
southern,milne bay,alotau,daio sc,50104,-10.4,150.42,catholic,hf,open
Southern,central,abau,mailu island,,-10.382251,149.358313,government,aidpost,open
Southern,central,abau,borebo,,-10.334646,149.449654,government,aidpost,open
southern,milne bay,alotau,bubuleta chp,50117,-10.33,150.64,government,hf,active
southern,milne bay,alotau,alotau,,-10.31009079,150.4551929,government,,
southern,milne bay,alotau,alotau uc,50103,-10.31,150.45,,hf,active
southern,milne bay,alotau,mbp pvs,,-10.30503111,150.4516275,,,
Southern,central,abau,iruna hc,30102,-10.303348,149.337011,other,hf,open
Southern,central,abau,iruna,,-10.301883,149.338012,,,
Southern,central,abau,magarida,,-10.297435,149.338535,,,
Southern,central,abau,aroana,,-10.297135,149.391236,,,
southern,milne bay,alotau,guga,,-10.278126,150.663875,government,,open
southern,milne bay,alotau,yapoa,,-10.267632,150.569963,,,
Southern,central,abau,boru hc,30101,-10.23619076,148.8467971,government,hf,open
Southern,central,abau,boru,,-10.236158,148.847347,,,
Southern,central,abau,bailebo rubber settl,,-10.235873,149.314919,,,
southern,milne bay,alotau,east cape,,-10.226656,150.873943,united,,open
southern,milne bay,alotau,east cape sc,50106,-10.22,150.87,other,hf,active
southern,milne bay,alotau,garuahi,,-10.217738,150.482946,,,
southern,milne bay,alotau,taupota,,-10.210239,150.419872,anglican,,open
southern,milne bay,alotau,garuahi sc,50108,-10.21,150.48,anglican,hf,active
Southern,central,abau,baramata no 4,,-10.200179,148.48939,,,
Southern,central,abau,tutubu,,-10.191113,148.43601,government,aidpost,open
Southern,central,abau,lalaura,,-10.184423,148.357608,,,
Southern,central,abau,nunumai,,-10.179238,149.371787,government,aidpost,open
Southern,central,abau,domara,,-10.170303,148.563804,government,aidpost,open
Southern,central,abau,paramana,30106,-10.15722,148.005385,government,hf,open
Southern,central,abau,kinikalana,,-10.144699,148.011406,,,
Southern,central,abau,robinson river plant,,-10.143841,148.850085,,,
Southern,central,abau,maopa no. 1,,-10.135737,148.017763,,,
Southern,central,abau,kelekapana,,-10.1327,148.08906,,,
Southern,central,abau,wairavanua,,-10.131683,148.115386,government,aidpost,open
Southern,central,abau,cocoaland station,,-10.130388,148.434348,,,
Southern,central,abau,merani/mari,,-10.11201,148.458069,,,
southern,milne bay,esaala,kurada sc,50406,-10.11,151.03,other,hf,active
southern,milne bay,rigo,hula,,-10.101857,147.725659,,,
Southern,central,rigo,hula sc,30403,-10.10184589,147.725393,united church,hf,active
Southern,central,abau,gohodae,,-10.093374,148.629607,,,
Southern,central,abau,kelerakwa,,-10.087482,148.168353,government,aidpost,open
Southern,central,abau,kupiano hc,30103,-10.071106,148.1817875,government,hf,active
Southern,central,abau,manabo station,,-10.057265,148.492641,,,
Southern,central,abau,bam sc,,-10.05,148.94,other,health sub-center,open
southern,milne bay,esaala,guleguleu sc,,-10.05,151.26,other,,open
southern,milne bay,esa'ala,guleuguleu sc,50404,-10.05,151.26,other,hf,active
Southern,central,rigo,kalo,,-10.044643,147.786353,government,aidpost,open
Southern,central,abau,moreguina,,-10.015955,148.474816,,,
Southern,central,abau,moreguina hc,30104,-10.014848,148.4743927,government,hf,open
Southern,central,rigo,kaparoko,,-10.011723,147.704918,government,aidpost,open
southern,milne bay,alotau,ikara sc,50110,-9.97,149.63,anglican,hf,active
Southern,central,abau,ianu station,,-9.96395,148.427532,,,
southern,milne bay,esaala,sehulea hc,50409,-9.96,151.16,government,hf,active
Southern,central,rigo,launakalana ag stn,,-9.944522,147.778816,,,
Southern,central,abau,upulima sc,30105,-9.941229248,148.205334,government,hf,active
Southern,central,abau,upulima,,-9.940986,148.205324,,,
Southern,central,rigo,kemabolo,,-9.929648,147.643016,government,aidpost,open
southern,milne bay,alotau,agaun sc,50101,-9.92,149.38,anglican,hf,open
Southern,central,rigo,tauruba,,-9.901792,147.620621,government,aidpost,open
Southern,central,rigo,vorakogena,,-9.890157,148.011565,,,
Southern,central,rigo,maipiko,,-9.870369,148.066576,,,
Southern,central,kairuku-hiri,central - kwikila dvs,,-9.8134464,147.6830478,kairuku-hiri,,
Southern,central,rigo,kwikila hc,30405,-9.809699,147.677842,united church,ho,active
Southern,central,rigo,kwikila,,-9.808244,147.678865,,,
Southern,central,rigo,gaba gaba,,-9.803351,147.516022,,,
Southern,central,rigo,saroa,,-9.799199,147.605452,government,aidpost,open
southern,milne bay,esaala,ulisalolo sc,50410,-9.79,150.78,other,hf,active
Southern,central,rigo,boregaina sc,30406,-9.769160109,147.7456297,government,hf,open
Southern,central,rigo district,boregaina,,-9.767496,147.74607,rigo,,
southern,milne bay,esaala,esaala hc,,-9.74,150.82,government,,open
southern,milne bay,esa'ala,esa'ala hc,50403,-9.74,150.82,government,hf,active
Southern,central,rigo,karekodobu,,-9.733508,147.729987,,,
Southern,central,rigo,manugoro,,-9.712717,147.463938,government,aidpost,open
Southern,central,rigo district,boku,,-9.70426,147.86808,rigo,,
Southern,central,rigo,kokorogoro sc,30407,-9.692536935,147.8058425,government,hf,open
southern,milne bay,esaala,budoya sc,50402,-9.68,150.84,other,hf,active
Southern,central,rigo,dorom.2,,-9.661177,147.865996,,,
southern,milne bay,esaala,salamo sc,,-9.66,150.79,other,,
