objectid,region,province,province_code,district,district_code,llg,llg_code,facility_name,facility_type,latitude,longitude
142,Highlands,Southern Highlands,070,Kagua/Erave,0703,Kuare Rural,070310,Ipama (Wanore),Aid Post,-6.539027999999917,144.06278500000008
142,Highlands,Southern Highlands,070,Kagua/Erave,0703,Kuare Rural,070310,Kuare Stn,Aid Post,-6.460936999999944,144.00385000000006
158,Highlands,Southern Highlands,070,Kewabi Rural,0701,Wiru Rural,070104,Kalane,Unknown,-6.4258239999999205,144.08526500000005
158,Highlands,Southern Highlands,070,Kewabi Rural,0701,Wiru Rural,070104,Tokoini,Aid Post,-6.434976999999947,144.074615
158,Highlands,Southern Highlands,070,Kewabi Rural,0701,Wiru Rural,070104,Weriko,Unknown,-6.447206999999935,144.15542400000004
158,Highlands,Southern Highlands,070,Kewabi Rural,0701,Wiru Rural,070104,Tunda,Aid Post,-6.4880569999999125,144.16054900000006
142,Highlands,Southern Highlands,070,Kagua/Erave,0703,Kuare Rural,070310,Kaparoi,Unknown,-6.53937899999994,144.12530400000003
142,Highlands,Southern Highlands,070,Kagua/Erave,0703,Kuare Rural,070310,Lapongo,Aid Post,-6.50942699999996,144.01213600000005
158,Highlands,Southern Highlands,070,Kewabi Rural,0701,Wiru Rural,070104,Kalipoi,Aid Post,-6.440456999999924,144.1589590000001
158,Highlands,Southern Highlands,070,Kewabi Rural,0701,Wiru Rural,070104,Tipa,Unknown,-6.438718999999935,144.1005090000001
160,Highlands,Southern Highlands,070,Nipa/Kutubu,0707,Lake Kutubu Rural,070722,Kadoba,Aid Post,-6.723230999999942,143.56710700000008
160,Highlands,Southern Highlands,070,Nipa/Kutubu,0707,Lake Kutubu Rural,070722,Kafa,Unknown,-6.58420499999994,143.51439900000003
160,Highlands,Southern Highlands,070,Nipa/Kutubu,0707,Lake Kutubu Rural,070722,Sisibia 2,Health Centre,-6.330126999999948,143.12126
160,Highlands,Southern Highlands,070,Nipa/Kutubu,0707,Lake Kutubu Rural,070722,Kaipu 1,Unknown,-6.365212999999926,143.1581030000001
160,Highlands,Southern Highlands,070,Nipa/Kutubu,0707,Lake Kutubu Rural,070722,Hidinihia (Hedinia),Unknown,-6.526326999999924,143.26554900000008
