province,district,name,facility_type,ownership,latitude,longitude,ll_source,fid
Eastern Cape,Cacadu,Aberdeen Hospital,District Hospital,MoH,-32.4862,24.0609,GPS,50484
Eastern Cape,Cacadu,Aberdeen Satellite Clinic,Satellite Clinic,MoH,-32.475,24.052,GPS,50485
Eastern Cape,Cacadu,AD Keet Clinic,Clinic,MoH,-34.0602,24.9183,GPS,50486
Eastern Cape,Cacadu,Addo Clinic,Clinic,MoH,-33.5422,25.6908,GPS,50487
Eastern Cape,Cacadu,Addo Enon Satellite Clinic,Satellite Clinic,MoH,-33.3946,25.5463,GPS,50488
Eastern Cape,Amathole,Adelaide Clinic,Clinic,MoH,-32.7071,26.2946,GPS,50489
Eastern Cape,Amathole,Adelaide Gateway Clinic,Clinic,MoH,-32.6999,26.294,GPS,50490
Eastern Cape,Amathole,Adelaide Hospital,District Hospital,MoH,-32.7009,26.2943,GPS,50491
Eastern Cape,Cacadu,Aeroville Clinic,Clinic,MoH,-32.7496,25.6035,GPS,50492
Eastern Cape,Alfred Nzo,Afsondering Clinic,Clinic,MoH,-30.1798,28.9481,GPS,50493
Eastern Cape,Chris Hani,Agnes Rest Clinic,Clinic,MoH,-31.6974,27.0313,GPS,50494
Eastern Cape,Cacadu,Albany Road Clinic,Clinic,MoH,-33.1803,26.3212,GPS,50495
Eastern Cape,Cacadu,Alexandria Clinic,Clinic,MoH,-33.6512,26.4142,GPS,50496
Eastern Cape,Nelson Mandela Bay,Algoa Park Clinic,Clinic,MoH,-33.9011,25.5645,GPS,50497
Eastern Cape,Cacadu,Alicedale Clinic,Clinic,MoH,-33.3173,26.0906,GPS,50498
Eastern Cape,Joe Gqabi,Aliwal North Block H Clinic,Clinic,MoH,-30.6883,26.6867,GPS,50499
Eastern Cape,Joe Gqabi,Aliwal North Hospital,District Hospital,MoH,-30.6969,26.7072,GPS,50500
Eastern Cape,Chris Hani,All Saints Gateway Clinic,Clinic,MoH,-31.6619,28.0504,GPS,50501
Eastern Cape,Chris Hani,All Saints Hospital,District Hospital,MoH,-31.6619,28.0504,GPS,50502
Eastern Cape,Buffalo City,Alphendale Clinic,Clinic,MoH,-33.0135,27.8413,GPS,50503
Eastern Cape,Amathole,Amabele Clinic,Clinic,MoH,-32.6633,27.5239,GPS,50504
Eastern Cape,Alfred Nzo,Amadiba Clinic,Clinic,MoH,-31.0731,30.1792,GPS,50505
Eastern Cape,Buffalo City,Amahleke Clinic,Clinic,MoH,-32.8337,27.2283,GPS,50506
Eastern Cape,Alfred Nzo,Amandengane Clinic,Clinic,MoH,-31.0861,29.7505,GPS,50507
Eastern Cape,Alfred Nzo,Amantshangase Clinic,Clinic,MoH,-30.8396,29.5877,GPS,50508
Eastern Cape,Amathole,Amathole Basin Clinic,Clinic,MoH,-32.6958,26.993,GPS,50509
Eastern Cape,Buffalo City,Amatola TB Clinic,Clinic,MoH,-32.89,27.39,GPS,50510
Eastern Cape,Cacadu,Andries Vosloo Hospital,District Hospital,MoH,-32.7218,25.5953,GPS,50511
Eastern Cape,Cacadu,Andrieskraal Clinic,Clinic,MoH,-33.7465,24.6404,GPS,50512
Eastern Cape,Cacadu,Anglo African Street Clinic,Clinic,MoH,-33.31,26.5246,GPS,50513
Eastern Cape,Cacadu,Asherville Clinic,Clinic,MoH,-32.2703,24.5556,GPS,50514
Eastern Cape,Chris Hani,Askeaton Clinic,Clinic,MoH,-31.6252,27.4607,GPS,50515
Eastern Cape,Buffalo City,Aspiranza Clinic,Clinic,MoH,-33.0191,27.8499,GPS,50516
Eastern Cape,Amathole,Assina Mandla Clinic,Clinic,MoH,-32.7504,26.7941,GPS,50517
Eastern Cape,Chris Hani,Bacclesfarm Clinic,Clinic,MoH,-32.0399,26.4565,GPS,50518
Eastern Cape,Amathole,Badi Clinic,Clinic,MoH,-32.287,28.6627,GPS,50519
Eastern Cape,O.R.Tambo,Bala Clinic,Clinic,MoH,-30.9902,29.5369,GPS,50520
Eastern Cape,Alfred Nzo,Baleni Clinic,Clinic,MoH,-31.1591,29.9715,GPS,50521
Eastern Cape,Amathole,Balfour Clinic,Clinic,MoH,-32.5457,26.6821,GPS,50522
Eastern Cape,O.R.Tambo,Bambisana Gateway Clinic,Clinic,MoH,-31.4508,29.4546,GPS,50523
Eastern Cape,O.R.Tambo,Bambisana Hospital,District Hospital,MoH,-31.4501,29.454,GPS,50524
Eastern Cape,Chris Hani,Banzi Clinic,Clinic,MoH,-32.1263,27.5198,GPS,50525
Eastern Cape,Chris Hani,Baroda Clinic,Clinic,MoH,-32.0021,25.5103,GPS,50526
