state,state_code,county,county_code,payam,,payam_code,site,site_dhis2_id,site_dhis2_name,latitude,longitude,facility_type,,func_status
Ruweng Admin,SS06,Abiemnhom,SS0601,Abiemnhom,Abiemnhom,SS060101,Abiemnom Phcc,uLEi6odqenf,Abiemnom PHCC,9.39874,28.8234,phcc,PHCC,1
Ruweng Admin,SS06,Abiemnhom,SS0601,Abiemnhom,Abiemnhom,SS060101,Awarpiny Phcu,yGT064K7KDb,Awarpiny PHCU,9.47362,28.88828,phcu,PHCU,1
Ruweng Admin,SS06,Abiemnhom,SS0601,Abiemnhom,Abiemnhom,SS060101,Manajoga Phcu,B28DxdG6Wuc,Manajoga PHCU,9.392128,28.811239,phcu,PHCU,1
Ruweng Admin,SS06,Abiemnhom,SS0601,Abiemnhom,Abiemnhom,SS060101,Panyang Phcu,zZvuNYtjDlC,Panyang PHCU,9.40919,28.91259,phcu,PHCU,1
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Abyei Civil Hospital,dcxxj6WsrYh,Abyei Civil HOSPITAL,9.5920517,28.4362648,hospital,HOSPITAL,1
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Abyei Phcc,vYTDq0lgbXi,Abyei PHCC,9.605027,28.4321627,phcc,PHCC,1
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Agany Tok Phcu,IN0Vq0USxQp,Agany Tok PHCU,9.527582,28.4344551,phcu,PHCU,0
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Agok Phcc,M60vi2MxFHK,Agok PHCC,9.3570269,28.5826749,phcc,PHCC,0
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Amenth Bek Hospital,gi9beIhrewq,Amenth bek HOSPITAL,9.5848252,28.4592471,hospital,HOSPITAL,1
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Amiet Phcu,vv5PvdZ2CIs,Amiet PHCU,9.7156987,28.4657346,phcu,PHCU,0
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Awal Phcu,v7E2MTfCew7,Awal PHCU,9.435215,28.6196528,phcu,PHCU,1
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Awalnhom Phcu,HyCeCABZGq0,Awalnhom PHCU,9.5264843,28.4847421,phcu,PHCU,1
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Dongop Phcu,caIT3QjnwTU,Dongop PHCU,9.6382736,28.5045074,phcu,PHCU,0
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Ganga Phcu,u9MPZmqwBCG,Ganga PHCU,9.4847959,28.5524158,phcc,PHCC,1
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Juljok Msf Hospital,NA,NA,9.3597296,28.5990978,hospital,HOSPITAL,0
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Juljok Phcc,m94VtenC9H6,Juljok PHCC,9.3658851,28.6049485,phcc,PHCC,0
Abyei Admin,SS00,Abyei Region,SS0001,Abyei Region,Abyei Region,SS000101,Mabok Phcu,CqJttDJSoLN,Mabok PHCU,9.4793614,28.6100767,phcu,PHCU,0
