province,district,name,HMIS_code,DHIS2_UID,smartcare_GUID,eLMIS_ID,iHRIS_ID,location,ownership,facility_type,longitude,latitude,catchment_population_head_count,catchment_population_cso,operation_status
Central,Chibombo,Chamakubi Health Post,10010001,pXhz0PLiYZX,7b46450b78a04a1db64c0fc9bb014773,,facility|1,Rural,GRZ,Health Post,27.64199073,-14.79990288,6624,6624,Operational
Central,Chibombo,Kabangalala Rural Health Centre,10010011,sbFApO4who4,9a450380b7db4f2fb13156d03fc0bc6d,,facility|10,Rural,GRZ,Rural Health Centre,27.72865541,-15.16894184,6345,6900,Operational
Lusaka,Luangwa,Kaunga Health Post,50050009,x0m1bsepC8D,8dc7e479586d4af0a1faebad1bc09137,,facility|1000,Rural,GRZ,Health Post,30.19014764,-15.08780097,2658,2639,Operational
Lusaka,Luangwa,Kavalamanja Rural Health Centre,50050010,BAkB4ppDaTJ,61c6db2d868545a4a07e4be45106570b,,facility|1001,Rural,GRZ,Rural Health Centre,30.26324881,-15.61518059,1050,10522,Operational
Lusaka,Luangwa,Luangwa Boma Rural Health Centre,50050011,gAaVZGBtFLt,167c6c9bba5c4b80bf4c3abcf3fd5389,,facility|1002,Rural,GRZ,Rural Health Centre,30.40786497,-15.62393008,3596,3330,Operational
Lusaka,Luangwa,Luangwa District Hospital,50050012,DqGTPYhHpey,2nnxphnb0bftuf5mcaqr1yfseviih35m,,facility|1003,Rural,GRZ,Hospital - Level 1,30.35036285,-15.55042326,,29000,Operational
Lusaka,Luangwa,Luangwa High School Rural Health Centre,50050013,GVnSLRHQ3zx,c4048d551b1e4520a307b8fb507b7bfc,,facility|1004,Rural,GRZ,Rural Health Centre,30.27361798,-15.27652538,2238,2222,Operational
Lusaka,Luangwa,Mandombe Rural Health Centre,50050014,z8LWIJoLkDg,cb6d12d9f1134eb8b06475fa0cf516e1,,facility|1005,Rural,GRZ,Rural Health Centre,30.37472326,-15.58268986,2095,2551,Operational
Lusaka,Luangwa,Mangelengele Health Post,50050015,eOMbjIuxWSq,jjd6flor3zwdhzloy5dwomw6elomq7r3,,facility|1006,Rural,GRZ,Health Post,30.18119585,-15.19276435,1312,1547,Operational
Lusaka,Luangwa,Mphuka Rural Health Centre,50050016,y5oKCgi25Hg,cd43a4a760be4ba5b99faecdf0f1bf79,,facility|1007,Rural,GRZ,Rural Health Centre,30.36007354,-15.43691478,3064,3008,Operational
Lusaka,Luangwa,Sinyawagora Rural Health Centre,50050017,fG0z5pmkkh0,29c6f395f4774606be8b9daad958480a,,facility|1008,Rural,GRZ,Health Post,30.20805029,-15.05605656,2358,2341,Operational
Lusaka,Lusaka,Airport Urban Health Centre (Lusaka),50060007,nPgSY7DnQl0,9a96df06da0c4968937d50a974e6ff01,,facility|1009,Urban,GRZ,Urban Health Centre,28.44641385,-15.3256284,,,Operational
Central,Kabwe,Kasanda Urban Health Centre,10050024,bXZcDh72H10,c41ae4035d734c6aa71b28809b974213,,facility|101,Urban,GRZ,Urban Health Centre,28.42630423,-14.4554119,,16384,Operational
